Date,Open,High,Low,Close,Adj Close,Volume,Stock
2017-10-31,5492.6298828125,5511.25,5489.41015625,5503.2900390625,5503.2900390625,75164700,CAC 40 Index
2017-11-01,5524.3798828125,5536.39990234375,5514.2900390625,5514.2900390625,5514.2900390625,75303700,CAC 40 Index
2017-11-02,5510.9599609375,5520.81005859375,5486.240234375,5510.5,5510.5,70253200,CAC 40 Index
2017-11-03,5513.47021484375,5521.919921875,5498.2900390625,5517.97021484375,5517.97021484375,75125000,CAC 40 Index
2017-11-06,5507.06982421875,5513.31005859375,5492.89990234375,5507.25,5507.25,70213800,CAC 40 Index
2017-11-07,5521.75,5525.5498046875,5475.919921875,5480.64013671875,5480.64013671875,78339100,CAC 40 Index
2017-11-08,5487.52978515625,5496.080078125,5452.2001953125,5471.43017578125,5471.43017578125,92596200,CAC 40 Index
2017-11-09,5470.18017578125,5479.7001953125,5401.43017578125,5407.75,5407.75,98897900,CAC 40 Index
2017-11-10,5405.5498046875,5415.8798828125,5375.1201171875,5380.72021484375,5380.72021484375,84901400,CAC 40 Index
2017-11-13,5382.64990234375,5384.759765625,5301.02001953125,5341.6298828125,5341.6298828125,84572600,CAC 40 Index
2017-11-14,5345.2998046875,5365.64013671875,5301.56982421875,5315.580078125,5315.580078125,90263700,CAC 40 Index
2017-11-15,5301.14013671875,5312.39013671875,5267.22021484375,5301.25,5301.25,94175400,CAC 40 Index
2017-11-16,5325.41015625,5345.22998046875,5312.8701171875,5336.39013671875,5336.39013671875,74296300,CAC 40 Index
2017-11-17,5335.85009765625,5350.25,5304.35009765625,5319.169921875,5319.169921875,88650100,CAC 40 Index
2017-11-20,5311.27978515625,5348.14990234375,5302.85009765625,5340.4501953125,5340.4501953125,66757000,CAC 40 Index
2017-11-21,5335.83984375,5385.85986328125,5326.85986328125,5366.14990234375,5366.14990234375,74777300,CAC 40 Index
2017-11-22,5364.60986328125,5391.009765625,5352.759765625,5352.759765625,5352.759765625,67526600,CAC 40 Index
2017-11-23,5339.759765625,5391.89013671875,5330.31982421875,5379.5400390625,5379.5400390625,55368500,CAC 40 Index
2017-11-24,5374.39990234375,5419.8798828125,5374.39990234375,5390.4599609375,5390.4599609375,54357200,CAC 40 Index
2017-11-27,5378.9599609375,5408.47021484375,5359.39013671875,5360.08984375,5360.08984375,62120700,CAC 40 Index
2017-11-28,5366.3798828125,5398.18994140625,5357.27978515625,5390.47998046875,5390.47998046875,65960000,CAC 40 Index
2017-11-29,5416.490234375,5441.68994140625,5394.89013671875,5398.0498046875,5398.0498046875,92621500,CAC 40 Index
2017-11-30,5402.66015625,5429.64990234375,5372.58984375,5372.7900390625,5372.7900390625,128032500,CAC 40 Index
2017-12-01,5374.1298828125,5378.31982421875,5299.06005859375,5316.89013671875,5316.89013671875,99908800,CAC 40 Index
